tutorial,emphasis(no=0,justEmp,target),text idx,pivot(center=0,left,bottom,leftBottom),target pos(x,y),target size(x,y),block pos(x,y),block size(x,y),method
0,0,40000,0,0,-100,0,0,0,0,0,0,
0,1,40001,2,0,160,662,1012,0,0,0,0,DragIcon
0,1,40002,2,0,1242,678,1178,0,0,0,0,EmphasisTiles
0,1,40003,2,0,1242,678,1178,0,0,0,0,EmphasisWidthLines
0,1,40004,2,0,1242,678,1178,0,0,0,0,EmphasisHeightLines
0,0,40005,0,0,0,0,0,0,0,0,0,
1,0,40100,0,0,0,0,0,0,0,0,0,
1,1,40101,2,0,330,640,1000,0,0,0,0,
1,1,40102,2,0,330,640,1000,0,0,0,0,EmphasisSkill
1,1,40103,2,0,415,680,1034,0,0,0,0,TouchIcon
1,0,40104,0,0,0,0,0,0,0,0,0,
2,0,40200,0,0,0,0,0,0,0,0,0,
2,1,40201,0,0,-170,640,1100,0,0,0,0,
2,2,40202,2,-200,90,510,1008,-200,90,200,200,
2,2,40203,0,0,-1,587,1114,0,-268,430,120,
2,2,40204,0,0,-1,640,1114,0,-202,230,160,
2,1,40205,0,0,0,580,1060,0,0,0,0,
2,2,40206,2,0,90,510,1008,0,90,200,200,
2,2,40207,0,0,-80,662,1040,-310,-80,300,300,
2,2,40208,0,0,-514,656,1034,-203,-530,270,270,
2,0,40209,0,0,0,0,0,0,0,0,0,
3,0,40300,0,0,0,0,0,0,0,0,0,
3,1,40301,2,200,90,518,1008,0,0,0,0,
3,2,40302,2,200,90,518,1008,200,90,200,200,
3,1,40303,0,0,-46,664,1230,0,0,0,0,
3,0,40304,0,0,0,0,0,0,0,0,0,
